,clientes,dia,poligono,vecinos
BARRIO URBANIZACION NUEVA GRANADA,612.0,2.0,"[(1058380, 870546), (1058425, 870538), (1058457, 870532), (1058523, 870521), (1058562, 870514), (1058576, 870511), (1058635, 870501), (1058645, 870499), (1058708, 870488), (1058719, 870486), (1058740, 870483), (1058767, 870478), (1058781, 870475), (1058832, 870467), (1058844, 870464), (1058895, 870456), (1058910, 870453), (1058945, 870447), (1058978, 870441), (1058991, 870441), (1058986, 870427), (1058948, 870325), (1058944, 870313), (1058907, 870212), (1058902, 870198), (1058892, 870201), (1058812, 870226), (1058733, 870251), (1058673, 870270), (1058640, 870279), (1058598, 870292), (1058559, 870305), (1058531, 870314), (1058495, 870326), (1058458, 870337), (1058427, 870346), (1058398, 870356), (1058320, 870380), (1058332, 870425), (1058333, 870426), (1058334, 870427), (1058334, 870429), (1058335, 870431), (1058346, 870450), (1058356, 870469), (1058359, 870477), (1058367, 870498), (1058373, 870516), (1058376, 870527), (1058380, 870544), (1058380, 870546)]","['BARRIO BELEN', 'BARRIO EL LIDO', 'BARRIO NUEVO SAN FERNANDO', 'BARRIO SANTA ISABEL', 'BARRIO SILOE', 'BARRIO URB. TEQUENDAMA']"
BARRIO URBANIZACION RIO LILI,1338.0,3.0,"[(1061397, 863529), (1061394, 863528), (1061390, 863529), (1061386, 863531), (1061383, 863533), (1061380, 863536), (1061373, 863540), (1061370, 863542), (1061365, 863545), (1061358, 863548), (1061356, 863550), (1061351, 863554), (1061346, 863556), (1061337, 863559), (1061336, 863560), (1061334, 863561), (1061327, 863565), (1061323, 863567), (1061321, 863569), (1061320, 863572), (1061317, 863576), (1061311, 863585), (1061307, 863593), (1061301, 863599), (1061297, 863606), (1061290, 863616), (1061287, 863618), (1061282, 863624), (1061276, 863628), (1061271, 863631), (1061266, 863634), (1061262, 863636), (1061259, 863637), (1061254, 863638), (1061252, 863638), (1061248, 863639), (1061243, 863639), (1061240, 863640), (1061237, 863640), (1061231, 863642), (1061228, 863643), (1061225, 863644), (1061220, 863647), (1061217, 863648), (1061213, 863649), (1061209, 863651), (1061205, 863652), (1061198, 863653), (1061190, 863653), (1061182, 863654), (1061175, 863654), (1061167, 863652), (1061160, 863651), (1061154, 863649), (1061152, 863648), (1061151, 863648), (1061150, 863648), (1061149, 863648), (1061148, 863648), (1061147, 863648), (1061146, 863648), (1061145, 863648), (1061144, 863649), (1061143, 863649), (1061138, 863650), (1061132, 863651), (1061128, 863652), (1061117, 863652), (1061116, 863652), (1061101, 863652), (1061095, 863652), (1061092, 863653), (1061089, 863653), (1061084, 863654), (1061081, 863654), (1061076, 863654), (1061067, 863653), (1061061, 863652), (1061053, 863652), (1061049, 863654), (1061045, 863656), (1061041, 863660), (1061038, 863665), (1061034, 863670), (1061029, 863675), (1061022, 863682), (1061016, 863685), (1061009, 863690), (1061003, 863691), (1060997, 863691), (1060990, 863690), (1060987, 863690), (1060985, 863689), (1060982, 863686), (1060981, 863684), (1060979, 863683), (1060977, 863684), (1060975, 863685), (1060973, 863685), (1060971, 863686), (1060968, 863686), (1060966, 863686), (1060964, 863686), (1060962, 863687), (1060961, 863689), (1060958, 863691), (1060956, 863692), (1060954, 863693), (1060952, 863694), (1060950, 863694), (1060944, 863695), (1060939, 863696), (1060933, 863697), (1060926, 863697), (1060920, 863699), (1060916, 863700), (1060913, 863701), (1060912, 863702), (1060910, 863703), (1060908, 863706), (1060907, 863708), (1060906, 863711), (1060905, 863715), (1060903, 863718), (1060899, 863721), (1060895, 863724), (1060893, 863726), (1060887, 863727), (1060882, 863726), (1060873, 863727), (1060866, 863728), (1060860, 863729), (1060855, 863731), (1060852, 863733), (1060849, 863735), (1060846, 863738), (1060844, 863740), (1060841, 863744), (1060838, 863748), (1060835, 863752), (1060831, 863757), (1060828, 863762), (1060823, 863768), (1060818, 863776), (1060810, 863788), (1060805, 863797), (1060801, 863805), (1060798, 863810), (1060795, 863817), (1060792, 863823), (1060791, 863828), (1060790, 863832), (1060790, 863836), (1060790, 863840), (1060791, 863843), (1060791, 863847), (1060790, 863850), (1060789, 863853), (1060787, 863855), (1060785, 863857), (1060781, 863859), (1060777, 863862), (1060772, 863866), (1060767, 863869), (1060762, 863872), (1060755, 863876), (1060747, 863879), (1060741, 863883), (1060732, 863889), (1060741, 863902), (1060763, 863931), (1060815, 864010), (1060837, 864043), (1060869, 864092), (1060874, 864106), (1060875, 864113), (1060876, 864125), (1060919, 864100), (1061059, 864030), (1061122, 864005), (1061146, 863995), (1061166, 863986), (1061239, 863946), (1061263, 863933), (1061289, 863920), (1061299, 863914), (1061324, 863897), (1061339, 863886), (1061354, 863874), (1061381, 863847), (1061392, 863834), (1061408, 863814), (1061422, 863793), (1061425, 863788), (1061436, 863768), (1061439, 863763), (1061451, 863737), (1061459, 863717), (1061465, 863692), (1061469, 863670), (1061472, 863653), (1061475, 863627), (1061476, 863617), (1061481, 863582), (1061486, 863542), (1061481, 863541), (1061477, 863539), (1061476, 863539), (1061471, 863537), (1061468, 863536), (1061468, 863536), (1061456, 863534), (1061452, 863534), (1061448, 863534), (1061442, 863534), (1061439, 863535), (1061434, 863535), (1061432, 863535), (1061430, 863535), (1061425, 863535), (1061422, 863535), (1061416, 863534), (1061410, 863532), (1061403, 863530), (1061397, 863529)]","['BARRIO CIUDAD UNIVERSITARIA', 'BARRIO PARCELACIONES PANCE', 'BARRIO SAN JOAQUIN', 'BARRIO URBANIZACION CIUDAD JARDIN', 'BARRIO URBANIZACION LILI']"
BARRIO URIBE URIBE,354.0,9.0,"[(1062732, 871783), (1062692, 871839), (1062673, 871865), (1062665, 871877), (1062640, 871910), (1062635, 871918), (1062640, 871928), (1062677, 871983), (1062686, 871998), (1062724, 872053), (1062743, 872082), (1062764, 872113), (1062825, 872204), (1062833, 872215), (1062863, 872260), (1062890, 872300), (1062893, 872306), (1062898, 872303), (1062931, 872289), (1062939, 872285), (1062951, 872280), (1062998, 872259), (1063010, 872254), (1063055, 872234), (1063063, 872230), (1063063, 872230), (1063060, 872222), (1063028, 872174), (1063020, 872163), (1062986, 872112), (1062975, 872096), (1062917, 872008), (1062888, 871963), (1062854, 871914), (1062840, 871891), (1062832, 871878), (1062776, 871794), (1062775, 871794), (1062734, 871784), (1062732, 871783)]","['BARRIO 20 DE JULIO', 'BARRIO LA FLORESTA', 'BARRIO PRIMITIVO CRESPO', 'BARRIO SAAVEDRA GALINDO', 'BARRIO SANTA MONICA POPULAR']"
BARRIO VALLE GRANDE,5882.0,12.0,"[(1066846, 872477), (1067033, 872278), (1067047, 872249), (1067067, 872239), (1067089, 872216), (1067099, 872210), (1067132, 872199), (1067176, 872167), (1067611, 872240), (1067704, 872189), (1067977, 871893), (1068065, 871788), (1067864, 871717), (1067759, 871676), (1067304, 871513), (1067285, 871507), (1067046, 871818), (1067025, 871834), (1066964, 871887), (1066861, 871972), (1066828, 872000), (1066774, 872028), (1066331, 872319), (1066313, 872331), (1066162, 872495), (1066201, 872572), (1066426, 872530), (1066846, 872477)]",['BARRIO CIUDAD TALANGA']
BARRIO VENEZUELA URB. CA_AVERALEJO,688.0,2.0,"[(1057796, 869486), (1057793, 869470), (1057780, 869412), (1057779, 869404), (1057770, 869369), (1057762, 869333), (1057753, 869293), (1057747, 869261), (1057745, 869251), (1057738, 869220), (1057735, 869209), (1057732, 869201), (1057724, 869188), (1057722, 869190), (1057719, 869192), (1057715, 869196), (1057709, 869204), (1057702, 869214), (1057698, 869217), (1057689, 869228), (1057683, 869235), (1057678, 869241), (1057675, 869246), (1057674, 869251), (1057673, 869255), (1057670, 869260), (1057668, 869261), (1057663, 869262), (1057657, 869262), (1057651, 869263), (1057646, 869263), (1057642, 869264), (1057638, 869264), (1057634, 869264), (1057629, 869263), (1057624, 869262), (1057608, 869255), (1057580, 869244), (1057568, 869239), (1057555, 869234), (1057551, 869233), (1057546, 869231), (1057541, 869230), (1057535, 869229), (1057530, 869229), (1057524, 869230), (1057520, 869231), (1057517, 869232), (1057514, 869235), (1057512, 869237), (1057507, 869240), (1057504, 869242), (1057501, 869245), (1057498, 869245), (1057496, 869245), (1057493, 869244), (1057491, 869244), (1057490, 869244), (1057489, 869244), (1057486, 869244), (1057484, 869244), (1057480, 869243), (1057477, 869242), (1057475, 869241), (1057472, 869240), (1057468, 869237), (1057462, 869233), (1057456, 869228), (1057451, 869224), (1057448, 869222), (1057446, 869220), (1057442, 869218), (1057438, 869215), (1057436, 869212), (1057434, 869211), (1057431, 869208), (1057429, 869205), (1057427, 869203), (1057425, 869201), (1057421, 869199), (1057418, 869197), (1057415, 869196), (1057411, 869193), (1057409, 869192), (1057405, 869190), (1057402, 869189), (1057398, 869189), (1057396, 869189), (1057395, 869188), (1057392, 869188), (1057390, 869187), (1057388, 869186), (1057387, 869185), (1057384, 869183), (1057382, 869182), (1057382, 869182), (1057379, 869181), (1057378, 869180), (1057376, 869179), (1057374, 869178), (1057372, 869178), (1057371, 869178), (1057370, 869179), (1057369, 869179), (1057368, 869180), (1057368, 869181), (1057368, 869182), (1057368, 869183), (1057368, 869184), (1057368, 869185), (1057367, 869185), (1057366, 869185), (1057364, 869185), (1057363, 869184), (1057361, 869183), (1057359, 869181), (1057356, 869179), (1057355, 869177), (1057355, 869175), (1057355, 869173), (1057355, 869172), (1057354, 869170), (1057353, 869169), (1057352, 869167), (1057350, 869166), (1057348, 869166), (1057347, 869166), (1057346, 869167), (1057345, 869168), (1057345, 869169), (1057343, 869171), (1057338, 869176), (1057338, 869177), (1057337, 869178), (1057337, 869180), (1057336, 869182), (1057336, 869184), (1057336, 869186), (1057336, 869189), (1057335, 869192), (1057333, 869194), (1057332, 869195), (1057329, 869196), (1057326, 869196), (1057324, 869196), (1057320, 869195), (1057319, 869195), (1057318, 869194), (1057316, 869193), (1057314, 869193), (1057311, 869193), (1057309, 869192), (1057307, 869192), (1057304, 869190), (1057302, 869188), (1057301, 869190), (1057300, 869187), (1057299, 869186), (1057297, 869185), (1057296, 869185), (1057294, 869183), (1057294, 869178), (1057295, 869176), (1057295, 869174), (1057294, 869172), (1057294, 869170), (1057295, 869168), (1057295, 869162), (1057296, 869160), (1057296, 869157), (1057295, 869152), (1057294, 869149), (1057294, 869146), (1057293, 869144), (1057292, 869143), (1057291, 869141), (1057291, 869136), (1057296, 869131), (1057300, 869125), (1057302, 869123), (1057303, 869120), (1057304, 869114), (1057305, 869109), (1057306, 869103), (1057306, 869096), (1057305, 869094), (1057304, 869093), (1057302, 869091), (1057301, 869090), (1057297, 869088), (1057290, 869084), (1057285, 869081), (1057280, 869078), (1057276, 869075), (1057269, 869070), (1057265, 869067), (1057263, 869066), (1057260, 869065), (1057258, 869064), (1057255, 869063), (1057254, 869063), (1057252, 869062), (1057249, 869062), (1057248, 869060), (1057247, 869059), (1057247, 869057), (1057245, 869053), (1057244, 869051), (1057242, 869049), (1057241, 869048), (1057240, 869047), (1057239, 869046), (1057238, 869046), (1057236, 869045), (1057235, 869043), (1057234, 869042), (1057233, 869041), (1057231, 869038), (1057228, 869035), (1057222, 869031), (1057219, 869030), (1057217, 869029), (1057215, 869027), (1057212, 869026), (1057210, 869024), (1057210, 869024), (1057209, 869023), (1057206, 869022), (1057203, 869022), (1057201, 869021), (1057197, 869021), (1057196, 869021), (1057194, 869020), (1057190, 869020), (1057188, 869020), (1057185, 869020), (1057182, 869021), (1057180, 869022), (1057178, 869023), (1057175, 869024), (1057173, 869024), (1057171, 869023), (1057169, 869023), (1057168, 869023), (1057165, 869023), (1057163, 869023), (1057158, 869023), (1057156, 869022), (1057151, 869020), (1057146, 869020), (1057141, 869019), (1057134, 869017), (1057129, 869014), (1057125, 869012), (1057119, 869010), (1057115, 869009), (1057111, 869008), (1057106, 869008), (1057099, 869008), (1057097, 869009), (1057094, 869009), (1057091, 869009), (1057086, 869008), (1057085, 869008), (1057082, 869006), (1057080, 869003), (1057078, 869001), (1057076, 868997), (1057073, 868991), (1057071, 868988), (1057070, 868987), (1057069, 868984), (1057068, 868981), (1057067, 868979), (1057066, 868977), (1057064, 868973), (1057061, 868968), (1057058, 868964), (1057056, 868963), (1057052, 868959), (1057047, 868953), (1057041, 868948), (1057035, 868944), (1057031, 868943), (1057027, 868941), (1057022, 868940), (1057019, 868939), (1057016, 868939), (1057011, 868937), (1057004, 868932), (1057000, 868928), (1056991, 868922), (1056984, 868919), (1056978, 868917), (1056975, 868916), (1056971, 868915), (1056968, 868915), (1056966, 868915), (1056964, 868915), (1056961, 868915), (1056959, 868915), (1056958, 868915), (1056954, 868915), (1056952, 868915), (1056952, 868916), (1056950, 868917), (1056946, 868918), (1056942, 868919), (1056939, 868920), (1056937, 868921), (1056934, 868922), (1056931, 868922), (1056928, 868923), (1056926, 868923), (1056924, 868923), (1056921, 868923), (1056919, 868923), (1056917, 868923), (1056916, 868923), (1056914, 868923), (1056912, 868924), (1056910, 868925), (1056908, 868926), (1056905, 868926), (1056903, 868927), (1056902, 868927), (1056900, 868928), (1056898, 868929), (1056895, 868929), (1056875, 868995), (1056858, 869042), (1056837, 869094), (1056847, 869099), (1056875, 869104), (1056916, 869112), (1056958, 869117), (1057003, 869121), (1057042, 869125), (1057080, 869131), (1057100, 869137), (1057102, 869140), (1057105, 869141), (1057111, 869144), (1057115, 869148), (1057121, 869152), (1057114, 869166), (1057090, 869209), (1057099, 869219), (1057026, 869300), (1057033, 869369), (1057037, 869403), (1057038, 869413), (1057063, 869410), (1057069, 869408), (1057077, 869407), (1057091, 869405), (1057097, 869404), (1057105, 869403), (1057113, 869402), (1057127, 869400), (1057130, 869399), (1057134, 869398), (1057143, 869397), (1057149, 869396), (1057153, 869395), (1057162, 869393), (1057170, 869391), (1057178, 869389), (1057187, 869388), (1057196, 869389), (1057202, 869391), (1057211, 869394), (1057218, 869397), (1057225, 869400), (1057230, 869402), (1057246, 869410), (1057246, 869410), (1057249, 869411), (1057254, 869413), (1057258, 869414), (1057261, 869416), (1057269, 869421), (1057273, 869423), (1057283, 869420), (1057291, 869420), (1057300, 869419), (1057306, 869417), (1057313, 869414), (1057319, 869411), (1057327, 869408), (1057337, 869406), (1057348, 869404), (1057368, 869397), (1057375, 869394), (1057383, 869389), (1057388, 869384), (1057402, 869370), (1057412, 869372), (1057425, 869375), (1057438, 869376), (1057474, 869383), (1057478, 869384), (1057486, 869385), (1057494, 869388), (1057501, 869391), (1057535, 869408), (1057545, 869413), (1057553, 869417), (1057566, 869425), (1057574, 869432), (1057575, 869434), (1057577, 869437), (1057579, 869440), (1057582, 869442), (1057586, 869445), (1057588, 869446), (1057594, 869447), (1057693, 869454), (1057701, 869455), (1057710, 869456), (1057720, 869456), (1057727, 869457), (1057733, 869458), (1057741, 869461), (1057788, 869482), (1057796, 869486)]","['BARRIO BELISARIO CAICEDO', 'BARRIO BRISAS DE MAYO', 'BARRIO CA_AVARALEJO GUADALUPE', 'BARRIO CA_AVERAL', 'BARRIO EL CORTIJO', 'BARRIO PUEBLO JOVEN', 'BARRIO SILOE']"
BARRIO VERSALLES,506.0,7.0,"[(1060967, 874119), (1060863, 874282), (1060853, 874296), (1060816, 874358), (1060805, 874373), (1060771, 874429), (1060762, 874443), (1060730, 874495), (1060723, 874499), (1060724, 874502), (1060726, 874505), (1060737, 874527), (1060752, 874562), (1060755, 874571), (1060765, 874608), (1060765, 874610), (1060776, 874647), (1060779, 874657), (1060788, 874689), (1060792, 874703), (1060797, 874724), (1060812, 874784), (1060815, 874800), (1060826, 874798), (1060915, 874760), (1060932, 874751), (1060994, 874707), (1061059, 874662), (1061125, 874616), (1061194, 874566), (1061231, 874541), (1061297, 874495), (1061360, 874450), (1061358, 874442), (1061349, 874436), (1061338, 874429), (1061327, 874423), (1061319, 874419), (1061311, 874413), (1061300, 874404), (1061287, 874394), (1061274, 874384), (1061259, 874374), (1061252, 874369), (1061243, 874362), (1061236, 874357), (1061229, 874354), (1061222, 874354), (1061219, 874353), (1061210, 874347), (1061201, 874342), (1061192, 874336), (1061184, 874329), (1061179, 874321), (1061175, 874313), (1061166, 874302), (1061160, 874293), (1061151, 874278), (1061142, 874265), (1061134, 874252), (1061127, 874243), (1061121, 874234), (1061113, 874216), (1061110, 874205), (1061108, 874195), (1061107, 874188), (1061105, 874182), (1061102, 874177), (1061099, 874173), (1061094, 874169), (1061083, 874160), (1061069, 874151), (1061054, 874143), (1061035, 874135), (1061019, 874129), (1060993, 874124), (1060967, 874119)]","['BARRIO EL HOYO', 'BARRIO EL PILOTO', 'BARRIO GRANADA', 'BARRIO SAN VICENTE', 'BARRIO SANTA MONICA']"
BARRIO VILLA COLOMBIA,2681.0,9.0,"[(1064660, 873544), (1064654, 873489), (1064650, 873448), (1064648, 873437), (1064643, 873395), (1064642, 873382), (1064637, 873344), (1064635, 873327), (1064631, 873287), (1064629, 873276), (1064622, 873215), (1064616, 873172), (1064615, 873160), (1064611, 873118), (1064610, 873105), (1064605, 873063), (1064600, 873041), (1064590, 872954), (1064588, 872941), (1064582, 872891), (1064580, 872868), (1064572, 872805), (1064571, 872795), (1064563, 872803), (1064517, 872809), (1064505, 872810), (1064489, 872811), (1064431, 872818), (1064422, 872819), (1064421, 872811), (1064417, 872775), (1064417, 872766), (1064408, 872766), (1064384, 872769), (1064342, 872774), (1064329, 872775), (1064311, 872777), (1064295, 872779), (1064265, 872782), (1064236, 872786), (1064222, 872787), (1064171, 872792), (1064157, 872794), (1064089, 872801), (1064076, 872803), (1064034, 872807), (1064022, 872809), (1064007, 872810), (1063990, 872812), (1063982, 872813), (1063968, 872815), (1063927, 872819), (1063920, 872820), (1063921, 872829), (1063923, 872853), (1063925, 872867), (1063927, 872883), (1063927, 872885), (1063931, 872918), (1063934, 872939), (1063935, 872947), (1063936, 872963), (1063941, 872999), (1063944, 873030), (1063946, 873045), (1063951, 873091), (1063953, 873110), (1063955, 873123), (1063956, 873133), (1063963, 873189), (1063964, 873203), (1063965, 873214), (1063969, 873245), (1063973, 873283), (1063975, 873296), (1063977, 873312), (1063983, 873362), (1063988, 873407), (1063989, 873423), (1063992, 873447), (1063996, 873484), (1063998, 873499), (1064003, 873539), (1064007, 873578), (1064015, 873578), (1064078, 873572), (1064121, 873571), (1064200, 873569), (1064223, 873569), (1064247, 873568), (1064267, 873568), (1064307, 873567), (1064321, 873566), (1064326, 873567), (1064332, 873567), (1064343, 873566), (1064379, 873564), (1064419, 873561), (1064432, 873560), (1064442, 873559), (1064455, 873558), (1064455, 873558), (1064464, 873557), (1064486, 873555), (1064497, 873554), (1064513, 873553), (1064523, 873552), (1064531, 873552), (1064562, 873550), (1064566, 873550), (1064575, 873549), (1064578, 873549), (1064582, 873549), (1064598, 873548), (1064660, 873544)]","['BARRIO BASE AEREA', 'BARRIO CHAPINERO', 'BARRIO EL TREBOL', 'BARRIO EL TRONCAL', 'BARRIO LA BASE']"
BARRIO VILLA DEL LAGO,2577.0,13.0,"[(1065680, 872024), (1065683, 872008), (1065678, 871986), (1065667, 871954), (1065658, 871939), (1065651, 871922), (1065643, 871914), (1065638, 871911), (1065633, 871906), (1065628, 871900), (1065619, 871896), (1065613, 871892), (1065603, 871887), (1065591, 871883), (1065576, 871879), (1065559, 871872), (1065549, 871867), (1065537, 871860), (1065527, 871856), (1065403, 871806), (1065383, 871798), (1065383, 871798), (1065383, 871798), (1065377, 871795), (1065366, 871790), (1065353, 871781), (1065332, 871764), (1065308, 871743), (1065273, 871713), (1065260, 871705), (1065254, 871699), (1065246, 871692), (1065233, 871679), (1065229, 871671), (1065226, 871667), (1065221, 871661), (1065220, 871659), (1065215, 871652), (1065212, 871647), (1065209, 871639), (1065206, 871634), (1065204, 871626), (1065202, 871622), (1065201, 871617), (1065200, 871610), (1065195, 871590), (1065195, 871572), (1065196, 871568), (1065196, 871563), (1065198, 871556), (1065199, 871550), (1065201, 871542), (1065204, 871536), (1065234, 871482), (1065244, 871462), (1065248, 871456), (1065202, 871428), (1065200, 871436), (1065181, 871474), (1065164, 871503), (1065161, 871509), (1065141, 871547), (1065119, 871586), (1065098, 871622), (1065052, 871703), (1065055, 871707), (1065063, 871718), (1065065, 871721), (1065070, 871730), (1065072, 871733), (1065073, 871736), (1065075, 871740), (1065076, 871744), (1065078, 871749), (1065080, 871757), (1065085, 871778), (1065100, 871847), (1065102, 871854), (1065106, 871866), (1065113, 871885), (1065117, 871892), (1065123, 871903), (1065132, 871918), (1065145, 871935), (1065149, 871939), (1065149, 871940), (1065161, 871954), (1065169, 871962), (1065202, 871998), (1065207, 872003), (1065211, 872008), (1065217, 872013), (1065225, 872018), (1065233, 872021), (1065240, 872024), (1065248, 872026), (1065254, 872026), (1065258, 872027), (1065265, 872027), (1065265, 872027), (1065274, 872028), (1065292, 872031), (1065299, 872033), (1065307, 872035), (1065318, 872040), (1065332, 872047), (1065337, 872050), (1065344, 872056), (1065351, 872063), (1065357, 872071), (1065358, 872073), (1065362, 872080), (1065374, 872105), (1065377, 872113), (1065383, 872125), (1065390, 872141), (1065396, 872153), (1065400, 872160), (1065405, 872167), (1065410, 872173), (1065416, 872179), (1065422, 872186), (1065426, 872189), (1065429, 872191), (1065437, 872198), (1065445, 872204), (1065455, 872209), (1065471, 872212), (1065485, 872213), (1065495, 872215), (1065505, 872218), (1065520, 872222), (1065543, 872230), (1065559, 872237), (1065576, 872203), (1065581, 872192), (1065625, 872096), (1065639, 872067), (1065640, 872066), (1065645, 872060), (1065662, 872040), (1065680, 872024)]","['BARRIO CHARCO AZUL', 'BARRIO LLERAS CINTA LARGA', 'BARRIO RICARDO BALCAZAR', 'BARRIO SECTOR LAGUNA DEL PONDAJE']"
BARRIO VILLA DEL PRADO EL GUABITO,5232.0,11.0,"[(1064592, 874562), (1064582, 874590), (1064567, 874636), (1064564, 874645), (1064531, 874750), (1064523, 874770), (1064516, 874787), (1064513, 874792), (1064511, 874795), (1064504, 874805), (1064415, 875089), (1064414, 875101), (1064414, 875101), (1064427, 875108), (1064507, 875132), (1064601, 875168), (1064707, 875200), (1064756, 875216), (1064804, 875231), (1064851, 875246), (1064893, 875260), (1064811, 875534), (1064823, 875538), (1064989, 875586), (1065003, 875592), (1065010, 875596), (1065014, 875599), (1065018, 875605), (1065021, 875609), (1065025, 875614), (1065026, 875620), (1065027, 875627), (1065031, 875628), (1065048, 875619), (1065056, 875613), (1065063, 875611), (1065073, 875611), (1065090, 875616), (1065094, 875617), (1065093, 875604), (1065093, 875599), (1065094, 875596), (1065094, 875578), (1065093, 875572), (1065090, 875565), (1065090, 875560), (1065092, 875553), (1065092, 875550), (1065093, 875546), (1065093, 875540), (1065094, 875535), (1065094, 875527), (1065093, 875520), (1065091, 875509), (1065091, 875504), (1065092, 875492), (1065094, 875477), (1065096, 875461), (1065095, 875448), (1065097, 875436), (1065125, 875343), (1065128, 875340), (1065131, 875338), (1065132, 875337), (1065135, 875336), (1065138, 875336), (1065313, 875390), (1065326, 875394), (1065505, 875450), (1065518, 875454), (1065740, 875522), (1065761, 875453), (1065837, 875212), (1065849, 875178), (1065911, 874978), (1065880, 874968), (1065724, 874918), (1065699, 874910), (1065427, 874826), (1065339, 874800), (1065329, 874795), (1065282, 874780), (1065246, 874769), (1065191, 874751), (1065112, 874726), (1065049, 874706), (1065025, 874699), (1065013, 874695), (1064992, 874690), (1064963, 874679), (1064919, 874665), (1064867, 874649), (1064845, 874642), (1064819, 874634), (1064805, 874629), (1064775, 874620), (1064760, 874615), (1064754, 874613), (1064749, 874612), (1064734, 874607), (1064694, 874594), (1064655, 874582), (1064615, 874569), (1064592, 874562)]","['BARRIO ALFONSO LOPEZ ETAPA I', 'BARRIO BASE AEREA', 'BARRIO FEPIC0L', 'BARRIO GUAYACANES', 'BARRIO JORGE ELICER GAITAN', 'BARRIO LA RIVERA I', 'BARRIO LOS ANDES-LA RIVIERA', 'BARRIO PASEO DE LOS ALMENDROS', 'BARRIO SENA']"
BARRIO VILLA DEL SOL,1479.0,11.0,"[(1064592, 877039), (1064646, 876986), (1064651, 876982), (1064682, 876953), (1064718, 876919), (1064762, 876878), (1064800, 876843), (1064813, 876830), (1064849, 876796), (1064858, 876788), (1064878, 876770), (1064918, 876732), (1064954, 876699), (1064958, 876695), (1064951, 876691), (1064816, 876619), (1064799, 876609), (1064698, 876554), (1064584, 876492), (1064583, 876493), (1064556, 876515), (1064543, 876526), (1064512, 876552), (1064492, 876569), (1064429, 876621), (1064411, 876636), (1064337, 876701), (1064369, 876736), (1064411, 876787), (1064432, 876811), (1064494, 876887), (1064511, 876912), (1064529, 876938), (1064575, 877006), (1064592, 877039)]","['BARRIO CALIMA', 'BARRIO CHIMINANGOS ETAPA II', 'BARRIO FLORA INDUSTRIAL', 'BARRIO LOS PARQUES', 'BARRIO METROPOLITANO DEL NORTE']"
BARRIO VILLA DEL SUR,1597.0,7.0,"[(1061751, 869338), (1061854, 869328), (1061907, 869330), (1061951, 869331), (1061989, 869332), (1062054, 869334), (1062130, 869336), (1062193, 869338), (1062356, 869343), (1062423, 869344), (1062572, 869349), (1062577, 869341), (1062593, 869324), (1062644, 869273), (1062643, 869271), (1062623, 869245), (1062573, 869196), (1062522, 869148), (1062511, 869138), (1062490, 869117), (1062459, 869087), (1062371, 869003), (1062330, 868964), (1062294, 868930), (1062249, 868887), (1062218, 868858), (1062192, 868834), (1062167, 868809), (1062155, 868796), (1062101, 868798), (1061945, 868814), (1061931, 868816), (1061857, 868823), (1061834, 868825), (1061699, 868841), (1061716, 869006), (1061717, 869017), (1061719, 869028), (1061738, 869210), (1061739, 869221), (1061751, 869338)]","['BARRIO CIUDAD MODELO', 'BARRIO JOSE HOLGUIN GARCES', 'BARRIO LA INDEPENDENCIA', 'BARRIO MARIANO RAMOS', 'BARRIO REPUBLICA DE ISRAEL', 'BARRIO SAN JUDAS TADEO I', 'BARRIO SAN JUDAS TADEO II', 'BARRIO UNION DE VIVIENDA POPULAR']"
BARRIO VILLA MERCEDES,586.0,12.0,"[(1066765, 868506), (1066727, 868512), (1066659, 868544), (1066604, 868562), (1066591, 868542), (1066518, 868576), (1066477, 868728), (1066433, 868881), (1066452, 869075), (1066751, 869053), (1066888, 869054), (1066989, 869059), (1067062, 869060), (1067126, 869033), (1067111, 868973), (1066984, 868877), (1066816, 868748), (1066825, 868666), (1066829, 868624), (1066829, 868615), (1066830, 868607), (1066829, 868547), (1066826, 868522), (1066825, 868506), (1066765, 868506)]","['BARRIO ALFONSO BONILLA ARAGON', 'BARRIO LAS ORQUIDEAS', 'BARRIO PIZAMOS III']"
