NOMBRE,X,Y
BARRIO ACUEDUCTO SAN ANTONIO,1059643,873002
BARRIO ACUEDUCTO SAN ANTONIO,1059652,872995
BARRIO ACUEDUCTO SAN ANTONIO,1059655,872993
BARRIO ACUEDUCTO SAN ANTONIO,1059659,872988
BARRIO ACUEDUCTO SAN ANTONIO,1059678,872966
BARRIO ACUEDUCTO SAN ANTONIO,1059700,872933
BARRIO ACUEDUCTO SAN ANTONIO,1059692,872892
BARRIO ACUEDUCTO SAN ANTONIO,1059629,872900
BARRIO ACUEDUCTO SAN ANTONIO,1059615,872902
BARRIO ACUEDUCTO SAN ANTONIO,1059535,872913
BARRIO ACUEDUCTO SAN ANTONIO,1059517,872915
BARRIO ACUEDUCTO SAN ANTONIO,1059508,872915
BARRIO ACUEDUCTO SAN ANTONIO,1059498,872914
BARRIO ACUEDUCTO SAN ANTONIO,1059479,872914
BARRIO ACUEDUCTO SAN ANTONIO,1059461,872915
BARRIO ACUEDUCTO SAN ANTONIO,1059447,872914
BARRIO ACUEDUCTO SAN ANTONIO,1059439,872913
BARRIO ACUEDUCTO SAN ANTONIO,1059433,872912
BARRIO ACUEDUCTO SAN ANTONIO,1059430,872912
BARRIO ACUEDUCTO SAN ANTONIO,1059425,872910
BARRIO ACUEDUCTO SAN ANTONIO,1059424,872910
BARRIO ACUEDUCTO SAN ANTONIO,1059422,872908
BARRIO ACUEDUCTO SAN ANTONIO,1059421,872906
BARRIO ACUEDUCTO SAN ANTONIO,1059419,872904
BARRIO ACUEDUCTO SAN ANTONIO,1059419,872901
BARRIO ACUEDUCTO SAN ANTONIO,1059417,872891
BARRIO ACUEDUCTO SAN ANTONIO,1059417,872889
BARRIO ACUEDUCTO SAN ANTONIO,1059416,872886
BARRIO ACUEDUCTO SAN ANTONIO,1059415,872879
BARRIO ACUEDUCTO SAN ANTONIO,1059415,872873
BARRIO ACUEDUCTO SAN ANTONIO,1059414,872867
BARRIO ACUEDUCTO SAN ANTONIO,1059413,872854
BARRIO ACUEDUCTO SAN ANTONIO,1059412,872838
BARRIO ACUEDUCTO SAN ANTONIO,1059407,872781
BARRIO ACUEDUCTO SAN ANTONIO,1059405,872760
BARRIO ACUEDUCTO SAN ANTONIO,1059403,872749
BARRIO ACUEDUCTO SAN ANTONIO,1059400,872728
BARRIO ACUEDUCTO SAN ANTONIO,1059399,872704
BARRIO ACUEDUCTO SAN ANTONIO,1059399,872684
BARRIO ACUEDUCTO SAN ANTONIO,1059398,872638
BARRIO ACUEDUCTO SAN ANTONIO,1059398,872632
BARRIO ACUEDUCTO SAN ANTONIO,1059395,872620
BARRIO ACUEDUCTO SAN ANTONIO,1059390,872618
BARRIO ACUEDUCTO SAN ANTONIO,1059385,872620
BARRIO ACUEDUCTO SAN ANTONIO,1059384,872619
BARRIO ACUEDUCTO SAN ANTONIO,1059362,872626
BARRIO ACUEDUCTO SAN ANTONIO,1059345,872592
BARRIO ACUEDUCTO SAN ANTONIO,1059343,872588
BARRIO ACUEDUCTO SAN ANTONIO,1059338,872590
BARRIO ACUEDUCTO SAN ANTONIO,1059334,872592
BARRIO ACUEDUCTO SAN ANTONIO,1059325,872595
BARRIO ACUEDUCTO SAN ANTONIO,1059316,872597
BARRIO ACUEDUCTO SAN ANTONIO,1059306,872599
BARRIO ACUEDUCTO SAN ANTONIO,1059295,872602
BARRIO ACUEDUCTO SAN ANTONIO,1059287,872604
BARRIO ACUEDUCTO SAN ANTONIO,1059272,872606
BARRIO ACUEDUCTO SAN ANTONIO,1059260,872607
BARRIO ACUEDUCTO SAN ANTONIO,1059247,872607
BARRIO ACUEDUCTO SAN ANTONIO,1059241,872608
BARRIO ACUEDUCTO SAN ANTONIO,1059235,872608
BARRIO ACUEDUCTO SAN ANTONIO,1059231,872610
BARRIO ACUEDUCTO SAN ANTONIO,1059227,872611
BARRIO ACUEDUCTO SAN ANTONIO,1059224,872612
BARRIO ACUEDUCTO SAN ANTONIO,1059222,872613
BARRIO ACUEDUCTO SAN ANTONIO,1059183,872642
BARRIO ACUEDUCTO SAN ANTONIO,1059180,872643
BARRIO ACUEDUCTO SAN ANTONIO,1059177,872645
BARRIO ACUEDUCTO SAN ANTONIO,1059168,872645
BARRIO ACUEDUCTO SAN ANTONIO,1059164,872644
BARRIO ACUEDUCTO SAN ANTONIO,1059156,872638
BARRIO ACUEDUCTO SAN ANTONIO,1059149,872631
BARRIO ACUEDUCTO SAN ANTONIO,1059143,872627
BARRIO ACUEDUCTO SAN ANTONIO,1059135,872622
BARRIO ACUEDUCTO SAN ANTONIO,1059127,872618
BARRIO ACUEDUCTO SAN ANTONIO,1059124,872617
BARRIO ACUEDUCTO SAN ANTONIO,1059117,872615
BARRIO ACUEDUCTO SAN ANTONIO,1059104,872614
BARRIO ACUEDUCTO SAN ANTONIO,1059097,872615
BARRIO ACUEDUCTO SAN ANTONIO,1059081,872618
BARRIO ACUEDUCTO SAN ANTONIO,1059062,872622
BARRIO ACUEDUCTO SAN ANTONIO,1059027,872629
BARRIO ACUEDUCTO SAN ANTONIO,1059011,872634
BARRIO ACUEDUCTO SAN ANTONIO,1058981,872640
BARRIO ACUEDUCTO SAN ANTONIO,1058972,872641
BARRIO ACUEDUCTO SAN ANTONIO,1058964,872642
BARRIO ACUEDUCTO SAN ANTONIO,1058959,872643
BARRIO ACUEDUCTO SAN ANTONIO,1058954,872645
BARRIO ACUEDUCTO SAN ANTONIO,1058948,872647
BARRIO ACUEDUCTO SAN ANTONIO,1058943,872649
BARRIO ACUEDUCTO SAN ANTONIO,1058921,872660
BARRIO ACUEDUCTO SAN ANTONIO,1058917,872661
BARRIO ACUEDUCTO SAN ANTONIO,1058896,872661
BARRIO ACUEDUCTO SAN ANTONIO,1058892,872660
BARRIO ACUEDUCTO SAN ANTONIO,1058885,872659
BARRIO ACUEDUCTO SAN ANTONIO,1058881,872658
BARRIO ACUEDUCTO SAN ANTONIO,1058878,872657
BARRIO ACUEDUCTO SAN ANTONIO,1058873,872654
BARRIO ACUEDUCTO SAN ANTONIO,1058868,872652
BARRIO ACUEDUCTO SAN ANTONIO,1058865,872649
BARRIO ACUEDUCTO SAN ANTONIO,1058863,872648
BARRIO ACUEDUCTO SAN ANTONIO,1058858,872643
BARRIO ACUEDUCTO SAN ANTONIO,1058856,872642
BARRIO ACUEDUCTO SAN ANTONIO,1058855,872642
BARRIO ACUEDUCTO SAN ANTONIO,1058850,872641
BARRIO ACUEDUCTO SAN ANTONIO,1058833,872641
BARRIO ACUEDUCTO SAN ANTONIO,1058831,872640
BARRIO ACUEDUCTO SAN ANTONIO,1058827,872639
BARRIO ACUEDUCTO SAN ANTONIO,1058821,872635
BARRIO ACUEDUCTO SAN ANTONIO,1058820,872634
BARRIO ACUEDUCTO SAN ANTONIO,1058818,872632
BARRIO ACUEDUCTO SAN ANTONIO,1058817,872629
BARRIO ACUEDUCTO SAN ANTONIO,1058816,872627
BARRIO ACUEDUCTO SAN ANTONIO,1058816,872622
BARRIO ACUEDUCTO SAN ANTONIO,1058818,872614
BARRIO ACUEDUCTO SAN ANTONIO,1058819,872611
BARRIO ACUEDUCTO SAN ANTONIO,1058823,872605
BARRIO ACUEDUCTO SAN ANTONIO,1058832,872594
BARRIO ACUEDUCTO SAN ANTONIO,1058837,872588
BARRIO ACUEDUCTO SAN ANTONIO,1058847,872577
BARRIO ACUEDUCTO SAN ANTONIO,1058854,872569
BARRIO ACUEDUCTO SAN ANTONIO,1058856,872565
BARRIO ACUEDUCTO SAN ANTONIO,1058857,872562
BARRIO ACUEDUCTO SAN ANTONIO,1058858,872558
BARRIO ACUEDUCTO SAN ANTONIO,1058859,872553
BARRIO ACUEDUCTO SAN ANTONIO,1058858,872536
BARRIO ACUEDUCTO SAN ANTONIO,1058850,872539
BARRIO ACUEDUCTO SAN ANTONIO,1058846,872539
BARRIO ACUEDUCTO SAN ANTONIO,1058841,872538
BARRIO ACUEDUCTO SAN ANTONIO,1058838,872537
BARRIO ACUEDUCTO SAN ANTONIO,1058837,872536
BARRIO ACUEDUCTO SAN ANTONIO,1058833,872535
BARRIO ACUEDUCTO SAN ANTONIO,1058828,872532
BARRIO ACUEDUCTO SAN ANTONIO,1058805,872513
BARRIO ACUEDUCTO SAN ANTONIO,1058796,872545
BARRIO ACUEDUCTO SAN ANTONIO,1058788,872564
BARRIO ACUEDUCTO SAN ANTONIO,1058787,872566
BARRIO ACUEDUCTO SAN ANTONIO,1058786,872568
BARRIO ACUEDUCTO SAN ANTONIO,1058785,872573
BARRIO ACUEDUCTO SAN ANTONIO,1058782,872579
BARRIO ACUEDUCTO SAN ANTONIO,1058776,872590
BARRIO ACUEDUCTO SAN ANTONIO,1058753,872627
BARRIO ACUEDUCTO SAN ANTONIO,1058749,872635
BARRIO ACUEDUCTO SAN ANTONIO,1058747,872641
BARRIO ACUEDUCTO SAN ANTONIO,1058745,872648
BARRIO ACUEDUCTO SAN ANTONIO,1058745,872655
BARRIO ACUEDUCTO SAN ANTONIO,1058744,872661
BARRIO ACUEDUCTO SAN ANTONIO,1058744,872669
BARRIO ACUEDUCTO SAN ANTONIO,1058745,872677
BARRIO ACUEDUCTO SAN ANTONIO,1058746,872685
BARRIO ACUEDUCTO SAN ANTONIO,1058748,872694
BARRIO ACUEDUCTO SAN ANTONIO,1058751,872702
BARRIO ACUEDUCTO SAN ANTONIO,1058754,872707
BARRIO ACUEDUCTO SAN ANTONIO,1058759,872715
BARRIO ACUEDUCTO SAN ANTONIO,1058763,872722
BARRIO ACUEDUCTO SAN ANTONIO,1058768,872727
BARRIO ACUEDUCTO SAN ANTONIO,1058781,872739
BARRIO ACUEDUCTO SAN ANTONIO,1058788,872744
BARRIO ACUEDUCTO SAN ANTONIO,1058795,872748
BARRIO ACUEDUCTO SAN ANTONIO,1058803,872751
BARRIO ACUEDUCTO SAN ANTONIO,1058810,872754
BARRIO ACUEDUCTO SAN ANTONIO,1058817,872756
BARRIO ACUEDUCTO SAN ANTONIO,1058822,872756
BARRIO ACUEDUCTO SAN ANTONIO,1058833,872758
BARRIO ACUEDUCTO SAN ANTONIO,1058843,872759
BARRIO ACUEDUCTO SAN ANTONIO,1058855,872760
BARRIO ACUEDUCTO SAN ANTONIO,1058862,872761
BARRIO ACUEDUCTO SAN ANTONIO,1058874,872762
BARRIO ACUEDUCTO SAN ANTONIO,1058878,872763
BARRIO ACUEDUCTO SAN ANTONIO,1058917,872767
BARRIO ACUEDUCTO SAN ANTONIO,1059023,872781
BARRIO ACUEDUCTO SAN ANTONIO,1059034,872788
BARRIO ACUEDUCTO SAN ANTONIO,1059038,872791
BARRIO ACUEDUCTO SAN ANTONIO,1059042,872794
BARRIO ACUEDUCTO SAN ANTONIO,1059046,872799
BARRIO ACUEDUCTO SAN ANTONIO,1059050,872807
BARRIO ACUEDUCTO SAN ANTONIO,1059055,872815
BARRIO ACUEDUCTO SAN ANTONIO,1059056,872826
BARRIO ACUEDUCTO SAN ANTONIO,1059056,872836
BARRIO ACUEDUCTO SAN ANTONIO,1059054,872850
BARRIO ACUEDUCTO SAN ANTONIO,1059054,872870
BARRIO ACUEDUCTO SAN ANTONIO,1059058,872881
BARRIO ACUEDUCTO SAN ANTONIO,1059060,872886
BARRIO ACUEDUCTO SAN ANTONIO,1059062,872892
BARRIO ACUEDUCTO SAN ANTONIO,1059066,872898
BARRIO ACUEDUCTO SAN ANTONIO,1059075,872912
BARRIO ACUEDUCTO SAN ANTONIO,1059077,872915
BARRIO ACUEDUCTO SAN ANTONIO,1059083,872925
BARRIO ACUEDUCTO SAN ANTONIO,1059085,872930
BARRIO ACUEDUCTO SAN ANTONIO,1059086,872935
BARRIO ACUEDUCTO SAN ANTONIO,1059087,872941
BARRIO ACUEDUCTO SAN ANTONIO,1059086,872945
BARRIO ACUEDUCTO SAN ANTONIO,1059086,872951
BARRIO ACUEDUCTO SAN ANTONIO,1059084,872957
BARRIO ACUEDUCTO SAN ANTONIO,1059083,872959
BARRIO ACUEDUCTO SAN ANTONIO,1059081,872964
BARRIO ACUEDUCTO SAN ANTONIO,1059075,872974
BARRIO ACUEDUCTO SAN ANTONIO,1059065,872982
BARRIO ACUEDUCTO SAN ANTONIO,1059060,872985
BARRIO ACUEDUCTO SAN ANTONIO,1059052,872989
BARRIO ACUEDUCTO SAN ANTONIO,1059046,872991
BARRIO ACUEDUCTO SAN ANTONIO,1059035,872995
BARRIO ACUEDUCTO SAN ANTONIO,1059017,873001
BARRIO ACUEDUCTO SAN ANTONIO,1059009,873009
BARRIO ACUEDUCTO SAN ANTONIO,1059005,873015
BARRIO ACUEDUCTO SAN ANTONIO,1059002,873025
BARRIO ACUEDUCTO SAN ANTONIO,1059002,873029
BARRIO ACUEDUCTO SAN ANTONIO,1059003,873035
BARRIO ACUEDUCTO SAN ANTONIO,1059007,873043
BARRIO ACUEDUCTO SAN ANTONIO,1059007,873044
BARRIO ACUEDUCTO SAN ANTONIO,1059010,873047
BARRIO ACUEDUCTO SAN ANTONIO,1059014,873050
BARRIO ACUEDUCTO SAN ANTONIO,1059017,873053
BARRIO ACUEDUCTO SAN ANTONIO,1059021,873055
